ContentSea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ad5e64c3816415a6e28380e7193cb2fd,e96dab60-f7ba-40e3-bade-b96f6f267273,2025/3/11 16:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS,N,EYE_OPENING_L,LX,LY,LP,EYE_OPENING_R,RX,RY,RP,CamPos_X,CamPos_Y,CamPos_Z,CamRot_X,CamRot_Y,CamRot_Z,CamRot_W,LControllerPos_X,LControllerPos_Y,LControllerPos_Z,LControllerRot_X,LControllerRot_Y,LControllerRot_Z,LControllerRot_W,RControllerPos_X,RControllerPos_Y,RControllerPos_Z,RControllerRot_X,RControllerRot_Y,RControllerRot_Z,RControllerRot_W
189.0695045,9662,1,2208.526,1220.98,0,0,2208.526,1220.98,0,-374.6671,18.97441,-29.88494,-0.02175826,-0.9976676,-0.02104861,-0.06117955,-374.608,18.30037,-30.11892,-0.05892727,-0.9460746,0.3160205,-0.0400196,-374.6785,18.35445,-30.08973,-0.005038353,0.973767,-0.1577328,0.1639292
189.0940554,9663,1,2207.864,1217.608,0,0,2207.864,1217.608,0,-374.6799,18.97537,-30.04083,-0.02215404,-0.9978848,-0.0185893,-0.05822098,-374.6209,18.30071,-30.27493,-0.05905336,-0.9459788,0.3161993,-0.04068141,-374.6913,18.35538,-30.24534,-0.005643446,0.9739679,-0.1569125,0.1635034
189.1084646,9664,1,2207.627,1218.847,0,0,2207.627,1218.847,0,-374.6876,18.976,-30.13238,-0.02237235,-0.9980649,-0.01735662,-0.05535892,-374.6285,18.30157,-30.36621,-0.05904634,-0.9459313,0.3163452,-0.04066183,-374.6989,18.35589,-30.33649,-0.004841144,0.9739184,-0.1573092,0.1634423
189.1260447,9665,1,2210.023,1216.22,0,1,2210.023,1216.22,0,-374.6968,18.97672,-30.24387,-0.0228993,-0.9982335,-0.01686153,-0.05216639,-374.6378,18.30279,-30.47745,-0.05884453,-0.9459345,0.3163795,-0.0406128,-374.7083,18.35644,-30.44777,-0.004486874,0.9739341,-0.1574763,0.1631982
189.1395884,9666,1,2211.197,1218.501,0,1,2211.197,1218.501,0,-374.7042,18.97717,-30.33003,-0.02364566,-0.9984648,-0.01567893,-0.04757223,-374.6447,18.30337,-30.56282,-0.05828656,-0.9459788,0.3164321,-0.0399696,-374.7157,18.35701,-30.53321,-0.003931301,0.9740287,-0.1576049,0.1625221
189.1574349,9667,1,2212.53,1222.608,0,1,2212.53,1222.608,0,-374.7138,18.97795,-30.44336,-0.02421485,-0.9986585,-0.01510392,-0.04320553,-374.6544,18.30521,-30.67528,-0.05780316,-0.945991,0.3165916,-0.0391105,-374.725,18.358,-30.64605,-0.003561011,0.9740592,-0.157636,0.1623176
189.1746815,9668,1,2211.745,1217.098,0,1,2211.745,1217.098,0,-374.723,18.97881,-30.5528,-0.02441904,-0.9988367,-0.01468673,-0.03890278,-374.6634,18.30555,-30.78471,-0.05750575,-0.9460205,0.3166381,-0.03845239,-374.7341,18.35872,-30.75516,-0.003436816,0.9740539,-0.1578325,0.1621613
189.1962336,9669,1,2215.219,1217.855,0,1,2215.219,1217.855,0,-374.7346,18.97995,-30.68964,-0.02490048,-0.9990349,-0.01445304,-0.03317061,-374.6743,18.30588,-30.92112,-0.05699033,-0.945923,0.3170962,-0.03783825,-374.7455,18.35944,-30.89152,-0.003262857,0.9741552,-0.1583351,0.1610619
189.2134851,9670,1,2214.56,1222.661,0,1,2214.56,1222.661,0,-374.744,18.98076,-30.79928,-0.02490762,-0.9991944,-0.01411985,-0.02812403,-374.6831,18.30655,-31.03063,-0.05699803,-0.9456894,0.3178351,-0.03746657,-374.7547,18.36064,-31.00066,-0.002625327,0.9740842,-0.1588115,0.161034
189.2318475,9671,1,2219.763,1216.438,0,1,2219.763,1216.438,0,-374.7538,18.98177,-30.9159,-0.02491076,-0.9993327,-0.01377366,-0.0228877,-374.6922,18.30731,-31.14686,-0.0568247,-0.94563,0.3180428,-0.03746496,-374.7641,18.36176,-31.11678,-0.002520499,0.9741545,-0.1590849,0.1603397
189.251729,9672,1,2227.723,1219.463,0,1,2227.723,1219.463,0,-374.7647,18.98298,-31.04236,-0.02520512,-0.9994638,-0.01328417,-0.01613778,-374.7024,18.30784,-31.27297,-0.05723335,-0.9454213,0.318541,-0.0378769,-374.7746,18.3622,-31.24263,-0.002353495,0.9742194,-0.1598148,0.159218
189.2701079,9673,1,2232.812,1219.271,0,1,2232.812,1219.271,0,-374.7747,18.98387,-31.1591,-0.02534096,-0.9995372,-0.01300498,-0.01068478,-374.7118,18.30872,-31.38939,-0.05714493,-0.9453905,0.3186879,-0.03754199,-374.784,18.36273,-31.35908,-0.002165449,0.9742464,-0.1601358,0.158732
189.2883648,9674,1,2226.965,1215.533,0,1,2226.965,1215.533,0,-374.7845,18.98478,-31.27512,-0.02564451,-0.9995769,-0.01259364,-0.005470127,-374.7211,18.30964,-31.50501,-0.0571515,-0.9453216,0.318914,-0.0373453,-374.7933,18.36336,-31.47475,-0.002025877,0.9742713,-0.1604187,0.1582943
189.3054116,9675,1,2232.692,1214.809,0,1,2232.692,1214.809,0,-374.794,18.9856,-31.38367,-0.02572194,-0.9995992,-0.01176993,0.001124959,-374.7298,18.3106,-31.61284,-0.0574199,-0.9451726,0.319305,-0.03736307,-374.8019,18.36356,-31.5827,-0.001391381,0.9742537,-0.160992,0.1578268
189.3238833,9676,1,2232.381,1213.065,0,1,2232.381,1213.065,0,-374.8041,18.98636,-31.50115,-0.02575185,-0.9995822,-0.01048117,0.007908786,-374.7392,18.3119,-31.72977,-0.05770215,-0.945083,0.3195419,-0.03717015,-374.8114,18.36405,-31.69986,-0.001286117,0.9742688,-0.1611757,0.1575473
189.341125,9677,1,2232.935,1214.404,0,1,2232.935,1214.404,0,-374.8136,18.98714,-31.61094,-0.025691,-0.99953,-0.009378303,0.0138561,-374.7479,18.31261,-31.83912,-0.05792963,-0.9450034,0.3197599,-0.03696684,-374.8201,18.36506,-31.8091,-0.00108448,0.9742332,-0.1619101,0.1570155
189.3603078,9678,1,2234.686,1211.793,0,1,2234.686,1211.793,0,-374.8242,18.98778,-31.73303,-0.0254992,-0.9994242,-0.007739459,0.02100457,-374.7573,18.31309,-31.96074,-0.05821114,-0.9448416,0.3202565,-0.03635588,-374.8298,18.36601,-31.93052,-0.000458053,0.9742513,-0.1624793,0.1563161
189.3771248,9679,1,2235.152,1209.201,0,1,2235.152,1209.201,0,-374.8333,18.98834,-31.84015,-0.02523637,-0.999295,-0.006098032,0.02712515,-374.766,18.31317,-32.06797,-0.05884432,-0.9447238,0.320421,-0.03694228,-374.8383,18.36721,-32.03703,1.88E-05,0.9742112,-0.1625572,0.1564861
189.3954643,9680,1,2233.301,1211.947,0,1,2233.301,1211.947,0,-374.8435,18.98891,-31.95703,-0.02481973,-0.9991056,-0.003843438,0.03401823,-374.775,18.31365,-32.18436,-0.05889183,-0.9446644,0.3206302,-0.03657065,-374.8475,18.36856,-32.1531,0.000538477,0.9741889,-0.1626387,0.1565384
189.4129371,9681,1,2233.177,1210.297,0,1,2233.177,1210.297,0,-374.853,18.98943,-32.0682,-0.02444819,-0.9989135,-0.001684302,0.03963822,-374.7841,18.31435,-32.29543,-0.05973364,-0.944485,0.3209641,-0.03690529,-374.8563,18.36967,-32.26372,0.001106859,0.9741766,-0.1629576,0.1562805
189.4315108,9682,1,2284.465,1201.301,0,1,2284.465,1201.301,0,-374.8635,18.98966,-32.18679,-0.02357581,-0.9985449,0.001928834,0.04846471,-374.7932,18.31493,-32.4133,-0.06016138,-0.944329,0.3214241,-0.03619399,-374.8655,18.37074,-32.38137,0.002601204,0.9741184,-0.1635958,0.1559591
189.4482114,9683,1,2330.81,1180.497,0,1,2330.81,1180.497,0,-374.8728,18.98996,-32.29314,-0.02285658,-0.9982311,0.004683167,0.05468441,-374.8018,18.31593,-32.51909,-0.06033382,-0.9442543,0.3216932,-0.03545539,-374.874,18.37113,-32.48732,0.003212418,0.9740559,-0.163943,0.1559723
189.4656744,9684,1,2363.958,1168.319,0,1,2363.958,1168.319,0,-374.883,18.98995,-32.40461,-0.02195786,-0.9976985,0.008878457,0.06353547,-374.8106,18.31686,-32.62985,-0.06088071,-0.944123,0.3219717,-0.03549248,-374.8828,18.37162,-32.59804,0.004067741,0.9740061,-0.1644174,0.1557646
189.4841503,9685,1,2366.177,1164.954,0,1,2366.177,1164.954,0,-374.8932,18.99022,-32.52209,-0.0213596,-0.9971754,0.01273979,0.07087173,-374.8198,18.31774,-32.74704,-0.06127541,-0.9440157,0.3222284,-0.03533601,-374.8923,18.37136,-32.71561,0.00512461,0.9737859,-0.1650365,0.1564534
189.5021882,9686,1,2371.302,1164.058,0,1,2371.302,1164.058,0,-374.9038,18.99006,-32.63734,-0.02018506,-0.9962319,0.01849427,0.08229577,-374.8285,18.31883,-32.86153,-0.06234947,-0.9439428,0.3222306,-0.03538281,-374.9014,18.37114,-32.83025,0.006927401,0.9735609,-0.1670245,0.1556727
189.5200904,9687,1,2365.26,1162.564,0,1,2365.26,1162.564,0,-374.914,18.9901,-32.75144,-0.01916621,-0.9953591,0.02315018,0.09141675,-374.8374,18.3202,-32.97502,-0.06305204,-0.9439253,0.3221189,-0.03562034,-374.9104,18.37144,-32.94392,0.008699581,0.9733911,-0.1679541,0.1556456
189.5364883,9688,1,2364.423,1159.64,0,1,2364.423,1159.64,0,-374.9234,18.99008,-32.85591,-0.01813544,-0.9944941,0.02709488,0.09959136,-374.8454,18.32121,-33.07917,-0.06372604,-0.9439029,0.3220502,-0.03563713,-374.9186,18.37195,-33.04803,0.01026122,0.9731753,-0.169461,0.1552661
189.557127,9689,1,2364.517,1158.606,0,1,2364.517,1158.606,0,-374.9354,18.9898,-32.98741,-0.01654898,-0.9931507,0.03291962,0.1108788,-374.855,18.32229,-33.2103,-0.06569801,-0.9438075,0.3219017,-0.03592431,-374.9289,18.37263,-33.17896,0.01177809,0.9728062,-0.1717755,0.154928
189.5735144,9690,1,2371.643,1155.59,0,1,2371.643,1155.59,0,-374.9449,18.98954,-33.09178,-0.01520877,-0.9919719,0.03772229,0.1197394,-374.863,18.32312,-33.31425,-0.06660385,-0.9437681,0.3218404,-0.03583858,-374.937,18.37277,-33.28341,0.01319203,0.9728218,-0.1720196,0.1544444
189.5935909,9691,1,2367.646,1155.961,0,1,2367.646,1155.961,0,-374.9562,18.98951,-33.21955,-0.01427417,-0.9906365,0.04270113,0.128888,-374.8728,18.32407,-33.44143,-0.06745575,-0.9437196,0.3217945,-0.03593475,-374.947,18.37331,-33.41093,0.01454345,0.9726911,-0.1724832,0.1546288
189.6097048,9692,1,2372.223,1151.241,0,1,2372.223,1151.241,0,-374.9655,18.98915,-33.3223,-0.01334333,-0.9891933,0.04768138,0.1380041,-374.8805,18.32471,-33.54364,-0.06957002,-0.9435868,0.3216859,-0.03636299,-374.9549,18.37311,-33.51356,0.01712209,0.9724365,-0.1735444,0.1547785
189.6291825,9693,1,2374.388,1152.705,0,1,2374.388,1152.705,0,-374.976,18.98915,-33.44632,-0.01252444,-0.9877871,0.05264995,0.1461092,-374.8898,18.32562,-33.66692,-0.07039697,-0.9434954,0.3217488,-0.03658771,-374.9646,18.37338,-33.63721,0.01814441,0.9721627,-0.1748243,0.1549423
